Argentina,Australia,Belgium,Brazil,Colombia,Costa Rica,Croatia,Denmark,Egypt,England,France,Germany,Iceland,Iran,Japan,Mexico,Morocco,Nigeria,Panama,Peru,Poland,Portugal,Russia,Saudi Arabia,Senegal,Serbia,South Korea,Spain,Sweden,Switzerland,Tunisia,Uruguay
19.0,62.0,47,20.0,39.0,56.0,32.0,59.0,73.0,11.0,58.0,48.0,23.0,95.0,6.0,35.0,14.0,49.0,78.0,18.0,86.0,3.0,12.0,51.0,37.0,56.0,93.0,24.0,65.0,50.0,35.0,89.0
86.0,38.0,69,91.0,40.0,93.0,71.0,7.0,22.0,91.0,81.0,95.0,76.0,,73.0,26.0,81.0,75.0,33.0,50.0,59.0,44.0,43.0,95.0,60.0,5.0,94.0,55.0,32.0,52.0,18.0,23.0
41.0,,75,97.0,70.0,,53.0,1.0,,8.0,34.0,,,,34.0,66.0,,51.0,,,,88.0,91.0,93.0,11.0,,96.0,58.0,50.0,90.0,93.0,10.0
48.0,,6,36.0,75.0,,80.0,,,40.0,13.0,,,,78.0,,,,,,,4.0,71.0,,71.0,,,54.0,62.0,31.0,51.0,23.0
93.0,,51,68.0,74.0,,91.0,,,22.0,57.0,,,,52.0,,,,,,,45.0,94.0,,,,,19.0,74.0,88.0,66.0,90.0
14.0,,16,51.0,93.0,,53.0,,,46.0,64.0,,,,48.0,,,,,,,55.0,59.0,,,,,91.0,66.0,,,7.0
,,43,88.0,,,90.0,,,62.0,68.0,,,,,,,,,,,,62.0,,,,,12.0,,,,62.0
,,90,76.0,,,4.0,,,36.0,40.0,,,,,,,,,,,,47.0,,,,,,,,,
,,51,,,,39.0,,,57.0,61.0,,,,,,,,,,,,41.0,,,,,,,,,
,,69,,,,101.0,,,30.0,51.0,,,,,,,,,,,,31.0,,,,,,,,,
,,74,,,,68.0,,,59.0,18.0,,,,,,,,,,,,115.0,,,,,,,,,
,,94,,,,109.0,,,5.0,38.0,,,,,,,,,,,,,,,,,,,,,
,,13,,,,28.0,,,,59.0,,,,,,,,,,,,,,,,,,,,,
,,31,,,,69.0,,,,65.0,,,,,,,,,,,,,,,,,,,,,
,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
